Water,Eau,Wasser,Acqua,みず,물,Agua
Paras,Paras,Paras,Paras,パラス,파라스,Paras
Parasect,Parasect,Parasek,Parasect,パラセクト,파라섹트,Parasect
Venonat,Mimitoss,Bluzuk,Venonat,コンパン,콘팡,Venonat
Venomoth,Aéromite,Omot,Venomoth,モルフォン,도나리,Venomoth
Diglett,Taupiqueur,Digda,Diglett,ディグダ,디그다,Diglett
Dugtrio,Triopikeur,Digdri,Dugtrio,ダグトリオ,닥트리오,Dugtrio
Meowth,Miaouss,Mauzi,Meowth,ニャース,나옹,Meowth
Persian,Persian,Snobilikat,Persian,ペルシアン,페르시온,Persian
Psyduck,Psykokwak,Enton,Psyduck,コダック,고라파덕,Psyduck
Golduck,Akwakwak,Entoron,Golduck,ゴルダック,골덕,Golduck
Mankey,Férosinge,Menki,Mankey,マンキー,망키,Mankey
Primeape,Colossinge,Rasaff,Primeape,オコリザル,성원숭,Primeape
Growlithe,Caninos,Fukano,Growlithe,ガーディ,가디,Growlithe
Arcanine,Arcanin,Arkani,Arcanine,ウインディ,윈디,Arcanine
Poliwag,Ptitard,Quapsel,Poliwag,ニョロモ,발챙이,Poliwag
Poliwhirl,Têtarte,Quaputzi,Poliwhirl,ニョロゾ,수륙챙이,Poliwhirl
Poliwrath,Tartard,Quappo,Poliwrath,ニョロボン,강챙이,Poliwrath
Abra,Abra,Abra,Abra,ケーシィ,캐이시,Abra
Kadabra,Kadabra,Kadabra,Kadabra,ユンゲラー,윤겔라,Kadabra
Alakazam,Alakazam,Simsala,Alakazam,フーディン,후딘,Alakazam
Machop,Machoc,Machollo,Machop,ワンリキー,알통몬,Machop
Machoke,Machopeur,Maschock,Machoke,ゴーリキー,근육몬,Machoke
Machamp,Mackogneur,Machomei,Machamp,カイリキー,괴력몬,Machamp
Bellsprout,Chétiflor,Knofensa,Bellsprout,マダツボミ,모다피,Bellsprout
Weepinbell,Boustiflor,Ultrigaria,Weepinbell,ウツドン,우츠동,Weepinbell
Victreebel,Empiflor,Sarzenia,Victreebel,ウツボット,우츠보트,Victreebel
Tentacool,Tentacool,Tentacha,Tentacool,メノクラゲ,왕눈해,Tentacool
Tentacruel,Tentacruel,Tentoxa,Tentacruel,ドククラゲ,독파리,Tentacruel
Geodude,Racaillou,Kleinstein,Geodude,イシツブテ,꼬마돌,Geodude
Graveler,Gravalanch,Georok,Graveler,ゴローン,데구리,Graveler
Golem,Grolem,Geowaz,Golem,ゴローニャ,딱구리,Golem
Ponyta,Ponyta,Ponita,Ponyta,ポニータ,포니타,Ponyta
Rapidash,Galopa,Gallopa,Rapidash,ギャロップ,날쌩마,Rapidash
Slowpoke,Ramoloss,Flegmon,Slowpoke,ヤドン,야돈,Slowpoke
Slowbro,Flagadoss,Lahmus,Slowbro,ヤドラン,야도란,Slowbro
Magnemite,Magnéti,Magnetilo,Magnemite,コイル,코일,Magnemite
Magneton,Magnéton,Magneton,Magneton,レアコイル,레어코일,Magneton
Farfetch'd,Canarticho,Porenta,Farfetch'd,カモネギ,파오리,Farfetch'd
Doduo,Doduo,Dodu,Doduo,ドードー,두두,Doduo
Dodrio,Dodrio,Dodri,Dodrio,ドードリオ,두트리오,Dodrio
Seel,Otaria,Jurob,Seel,パウワウ,쥬쥬,Seel
Dewgong,Lamantine,Jugong,Dewgong,ジュゴン,쥬레곤,Dewgong
Grimer,Tadmorv,Sleima,Grimer,ベトベター,질퍽이,Grimer
Muk,Grotadmorv,Sleimok,Muk,ベトベトン,질뻐기,Muk
Shellder,Kokiyas,Muschas,Shellder,シェルダー,셀러,Shellder
Cloyster,Crustabri,Austos,Cloyster,パルシェン,파르셀,Cloyster
Gastly,Fantominus,Nebulak,Gastly,ゴース,고오스,Gastly
Haunter,Spectrum,Alpollo,Haunter,ゴースト,고우스트,Haunter
Gengar,Ectoplasma,Gengar,Gengar,ゲンガー,팬텀,Gengar
Onix,Onix,Onix,Onix,イワーク,롱스톤,Onix
Drowzee,Soporifik,Traumato,Drowzee,スリープ,슬리프,Drowzee
Hypno,Hypnomade,Hypno,Hypno,スリーパー,슬리퍼,Hypno
Krabby,Krabby,Krabby,Krabby,クラブ,크랩,Krabby
Kingler,Krabboss,Kingler,Kingler,キングラー,킹크랩,Kingler
Voltorb,Voltorbe,Voltobal,Voltorb,ビリリダマ,찌리리공,Voltorb
Electrode,Électrode,Lektrobal,Electrode,マルマイン,붐볼,Electrode
Exeggcute,Nœunœuf,Owei,Exeggcute,タマタマ,아라리,Exeggcute
Exeggutor,Noadkoko,Kokowei,Exeggutor,ナッシー,나시,Exeggutor
Cubone,Osselait,Tragosso,Cubone,カラカラ,탕구리,Cubone
Marowak,Ossatueur,Knogga,Marowak,ガラガラ,텅구리,Marowak
Hitmonlee,Kicklee,Kicklee,Hitmonlee,サワムラー,시라소몬,Hitmonlee
Hitmonchan,Tygnon,Nockchan,Hitmonchan,エビワラー,홍수몬,Hitmonchan
Lickitung,Excelangue,Schlurp,Lickitung,ベロリンガ,내루미,Lickitung
Koffing,Smogo,Smogon,Koffing,ドガース,또가스,Koffing
Weezing,Smogogo,Smogmog,Weezing,マタドガス,또도가스,Weezing
Rhyhorn,Rhinocorne,Rihorn,Rhyhorn,サイホーン,뿔카노,Rhyhorn
Rhydon,Rhinoféros,Rizeros,Rhydon,サイドン,코뿌리,Rhydon
Chansey,Leveinard,Chaneira,Chansey,ラッキー,럭키,Chansey
Tangela,Saquedeneu,Tangela,Tangela,モンジャラ,덩구리,Tangela
Kangaskhan,Kangourex,Kangama,Kangaskhan,ガルーラ,캥카,Kangaskhan
Horsea,Hypotrempe,Seeper,Horsea,タッツー,쏘드라,Horsea
Seadra,Hypocéan,Seemon,Seadra,シードラ,시드라,Seadra
Goldeen,Poissirène,Goldini,Goldeen,トサキント,콘치,Goldeen
Seaking,Poissoroy,Golking,Seaking,アズマオウ,왕콘치,Seaking
Staryu,Stari,Sterndu,Staryu,ヒトデマン,별가사리,Staryu
Starmie,Staross,Starmie,Starmie,スターミー,아쿠스타,Starmie
Mr. Mime,M.Mime,Pantimos,Mr. Mime,バリヤード,마임맨,Mr. Mime
Scyther,Insécateur,Sichlor,Scyther,ストライク,스라크,Scyther
Jynx,Lippoutou,Rossana,Jynx,ルージュラ,루주라,Jynx
Electabuzz,Élektek,Elektek,Electabuzz,エレブー,에레브,Electabuzz
Magmar,Magmar,Magmar,Magmar,ブーバー,마그마,Magmar
Pinsir,Scarabrute,Pinsir,Pinsir,カイロス,쁘사이저,Pinsir
Tauros,Tauros,Tauros,Tauros,ケンタロス,켄타로스,Tauros
Magikarp,Magicarpe,Karpador,Magikarp,コイキング,잉어킹,Magikarp
Gyarados,Léviator,Garados,Gyarados,ギャラドス,갸라도스,Gyarados
Lapras,Lokhlass,Lapras,Lapras,ラプラス,라프라스,Lapras
Ditto,Métamorph,Ditto,Ditto,メタモン,메타몽,Ditto
Eevee,Évoli,Evoli,Eevee,イーブイ,이브이,Eevee
Vaporeon,Aquali,Aquana,Vaporeon,シャワーズ,샤미드,Vaporeon
Jolteon,Voltali,Blitza,Jolteon,サンダース,쥬피썬더,Jolteon
Flareon,Pyroli,Flamara,Flareon,ブースター,부스터,Flareon
Porygon,Porygon,Porygon,Porygon,ポリゴン,폴리곤,Porygon
Omanyte,Amonita,Amonitas,Omanyte,オムナイト,암나이트,Omanyte
Omastar,Amonistar,Amoroso,Omastar,オムスター,암스타,Omastar
Kabuto,Kabuto,Kabuto,Kabuto,カブト,투구,Kabuto
Kabutops,Kabutops,Kabutops,Kabutops,カブトプス,투구푸스,Kabutops
Aerodactyl,Ptéra,Aerodactyl,Aerodactyl,プテラ,프테라,Aerodactyl
Snorlax,Ronflex,Relaxo,Snorlax,カビゴン,잠만보,Snorlax
Articuno,Artikodin,Arktos,Articuno,フリーザー,프리져,Articuno
Zapdos,Électhor,Zapdos,Zapdos,サンダー,썬더,Zapdos
Moltres,Sulfura,Lavados,Moltres,ファイヤー,파이어,Moltres
Dratini,Minidraco,Dratini,Dratini,ミニリュウ,미뇽,Dratini
Dragonair,Draco,Dragonir,Dragonair,ハクリュー,신뇽,Dragonair
Dragonite,Dracolosse,Dragoran,Dragonite,カイリュー,망나뇽,Dragonite
Mewtwo,Mewtwo,Mewtu,Mewtwo,ミュウツー,뮤츠,Mewtwo
Mew,Mew,Mew,Mew,ミュウ,뮤,Mew
Chikorita,Germignon,Endivie,Chikorita,チコリータ,치코리타,Chikorita
Bayleef,Macronium,Lorblatt,Bayleef,ベイリーフ,베이리프,Bayleef
Meganium,Méganium,Meganie,Meganium,メガニウム,메가니움,Meganium
Cyndaquil,Héricendre,Feurigel,Cyndaquil,ヒノアラシ,브케인,Cyndaquil
Quilava,Feurisson,Igelavar,Quilava,マグマラシ,마그케인,Quilava
Typhlosion,Typhlosion,Tornupto,Typhlosion,バクフーン,블레이범,Typhlosion
Totodile,Kaiminus,Karnimani,Totodile,ワニノコ,리아코,Totodile
Croconaw,Crocrodil,Tyracroc,Croconaw,アリゲイツ,엘리게이,Croconaw
Feraligatr,Aligatueur,Impergator,Feraligatr,オーダイル,장크로다일,Feraligatr
Sentret,Fouinette,Wiesor,Sentret,オタチ,꼬리선,Sentret
Furret,Fouinar,Wiesenior,Furret,オオタチ,다꼬리,Furret
Hoothoot,Hoothoot,Hoothoot,Hoothoot,ホーホー,부우부,Hoothoot
Noctowl,Noarfang,Noctuh,Noctowl,ヨルノズク,야부엉,Noctowl
Ledyba,Coxy,Ledyba,Ledyba,レディバ,레디바,Ledyba
Ledian,Coxyclaque,Ledian,Ledian,レディアン,레디안,Ledian
Spinarak,Mimigal,Webarak,Spinarak,イトマル,페이검,Spinarak
Ariados,Migalos,Ariados,Ariados,アリアドス,아리아도스,Ariados
Crobat,Nostenfer,Iksbat,Crobat,クロバット,크로뱃,Crobat
Chinchou,Loupio,Lampi,Chinchou,チョンチー,초라기,Chinchou
Lanturn,Lanturn,Lanturn,Lanturn,ランターン,랜턴,Lanturn
Pichu,Pichu,Pichu,Pichu,ピチュー,피츄,Pichu
Cleffa,Mélo,Pii,Cleffa,ピィ,삐,Cleffa
Igglybuff,Toudoudou,Fluffeluff,Igglybuff,ププリン,푸푸린,Igglybuff
Togepi,Togepi,Togepi,Togepi,トゲピー,토게피,Togepi
Togetic,Togetic,Togetic,Togetic,トゲチック,토게틱,Togetic
Natu,Natu,Natu,Natu,ネイティ,네이티,Natu
Xatu,Xatu,Xatu,Xatu,ネイティオ,네이티오,Xatu
Mareep,Wattouat,Voltilamm,Mareep,メリープ,메리프,Mareep
Flaaffy,Lainergie,Waaty,Flaaffy,モココ,보송송,Flaaffy
Ampharos,Pharamp,Ampharos,Ampharos,デンリュウ,전룡,Ampharos
Bellossom,Joliflor,Blubella,Bellossom,キレイハナ,아르코,Bellossom
Marill,Marill,Marill,Marill,マリル,마릴,Marill
Azumarill,Azumarill,Azumarill,Azumarill,マリルリ,마릴리,Azumarill
Sudowoodo,Simularbre,Mogelbaum,Sudowoodo,ウソッキー,꼬지모,Sudowoodo
Politoed,Tarpaud,Quaxo,Politoed,ニョロトノ,왕구리,Politoed
Hoppip,Granivol,Hoppspross,Hoppip,ハネッコ,통통코,Hoppip
Skiploom,Floravol,Hubelupf,Skiploom,ポポッコ,두코,Skiploom
Jumpluff,Cotovol,Papungha,Jumpluff,ワタッコ,솜솜코,Jumpluff
Aipom,Capumain,Griffel,Aipom,エイパム,에이팜,Aipom
Sunkern,Tournegrin,Sonnkern,Sunkern,ヒマナッツ,해너츠,Sunkern
Sunflora,Héliatronc,Sonnflora,Sunflora,キマワリ,해루미,Sunflora
Yanma,Yanma,Yanma,Yanma,ヤンヤンマ,왕자리,Yanma
Wooper,Axoloto,Felino,Wooper,ウパー,우파,Wooper
Quagsire,Maraiste,Morlord,Quagsire,ヌオー,누오,Quagsire
Espeon,Mentali,Psiana,Espeon,エーフィ,에브이,Espeon
Umbreon,Noctali,Nachtara,Umbreon,ブラッキー,블래키,Umbreon
Murkrow,Cornèbre,Kramurx,Murkrow,ヤミカラス,니로우,Murkrow
Slowking,Roigada,Laschoking,Slowking,ヤドキング,야도킹,Slowking
Misdreavus,Feuforêve,Traunfugil,Misdreavus,ムウマ,무우마,Misdreavus
Unown,Zarbi,Icognito,Unown,アンノーン,안농,Unown
Wobbuffet,Qulbutoké,Woingenau,Wobbuffet,ソーナンス,마자용,Wobbuffet
Girafarig,Girafarig,Girafarig,Girafarig,キリンリキ,키링키,Girafarig
Pineco,Pomdepik,Tannza,Pineco,クヌギダマ,피콘,Pineco
Forretress,Foretress,Forstellka,Forretress,フォレトス,쏘콘,Forretress
Dunsparce,Insolourdo,Dummisel,Dunsparce,ノコッチ,노고치,Dunsparce
Gligar,Scorplane,Skorgla,Gligar,グライガー,글라이거,Gligar
Steelix,Steelix,Stahlos,Steelix,ハガネール,강철톤,Steelix
Snubbull,Snubbull,Snubbull,Snubbull,ブルー,블루,Snubbull
Granbull,Granbull,Granbull,Granbull,グランブル,그랑블루,Granbull
Qwilfish,Qwilfish,Baldorfish,Qwilfish,ハリーセン,침바루,Qwilfish
Scizor,Cizayox,Scherox,Scizor,ハッサム,핫삼,Scizor
Shuckle,Caratroc,Pottrott,Shuckle,ツボツボ,단단지,Shuckle
Heracross,Scarhino,Skaraborn,Heracross,ヘラクロス,헤라크로스,Heracross
Sneasel,Farfuret,Sniebel,Sneasel,ニューラ,포푸니,Sneasel
Teddiursa,Teddiursa,Teddiursa,Teddiursa,ヒメグマ,깜지곰,Teddiursa
Ursaring,Ursaring,Ursaring,Ursaring,リングマ,링곰,Ursaring
Slugma,Limagma,Schneckmag,Slugma,マグマッグ,마그마그,Slugma
Magcargo,Volcaropod,Magcargo,Magcargo,マグカルゴ,마그카르고,Magcargo
Swinub,Marcacrin,Quiekel,Swinub,ウリムー,꾸꾸리,Swinub
Piloswine,Cochignon,Keifel,Piloswine,イノムー,메꾸리,Piloswine
Corsola,Corayon,Corasonn,Corsola,サニーゴ,코산호,Corsola
Remoraid,Rémoraid,Remoraid,Remoraid,テッポウオ,총어,Remoraid
Octillery,Octillery,Octillery,Octillery,オクタン,대포무노,Octillery
Delibird,Cadoizo,Botogel,Delibird,デリバード,딜리버드,Delibird
Mantine,Démanta,Mantax,Mantine,マンタイン,만타인,Mantine
Skarmory,Airmure,Panzaeron,Skarmory,エアームド,무장조,Skarmory
Houndour,Malosse,Hunduster,Houndour,デルビル,델빌,Houndour
Houndoom,Démolosse,Hundemon,Houndoom,ヘルガー,헬가,Houndoom
Kingdra,Hyporoi,Seedraking,Kingdra,キングドラ,킹드라,Kingdra
Phanpy,Phanpy,Phanpy,Phanpy,ゴマゾウ,코코리,Phanpy
Donphan,Donphan,Donphan,Donphan,ドンファン,코리갑,Donphan
Porygon2,Porygon2,Porygon2,Porygon2,ポリゴン２,폴리곤2,Porygon2
Stantler,Cerfrousse,Damhirplex,Stantler,オドシシ,노라키,Stantler
Smeargle,Queulorior,Farbeagle,Smeargle,ドーブル,루브도,Smeargle
Tyrogue,Debugant,Rabauz,Tyrogue,バルキー,배루키,Tyrogue
Hitmontop,Kapoera,Kapoera,Hitmontop,カポエラー,카포에라,Hitmontop
Smoochum,Lippouti,Kussilla,Smoochum,ムチュール,뽀뽀라,Smoochum
Elekid,Élekid,Elekid,Elekid,エレキッド,에레키드,Elekid
Magby,Magby,Magby,Magby,ブビィ,마그비,Magby
Miltank,Écrémeuh,Miltank,Miltank,ミルタンク,밀탱크,Miltank
Blissey,Leuphorie,Heiteira,Blissey,ハピナス,해피너스,Blissey
Raikou,Raikou,Raikou,Raikou,ライコウ,라이코,Raikou
Entei,Entei,Entei,Entei,エンテイ,앤테이,Entei
Suicune,Suicune,Suicune,Suicune,スイクン,스이쿤,Suicune
Larvitar,Embrylex,Larvitar,Larvitar,ヨーギラス,애버라스,Larvitar
Pupitar,Ymphect,Pupitar,Pupitar,サナギラス,데기라스,Pupitar
Tyranitar,Tyranocif,Despotar,Tyranitar,バンギラス,마기라스,Tyranitar
Lugia,Lugia,Lugia,Lugia,ルギア,루기아,Lugia
Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,ホウオウ,칠색조,Ho-Oh
Celebi,Celebi,Celebi,Celebi,セレビィ,세레비,Celebi
Treecko,Arcko,Geckarbor,Treecko,キモリ,나무지기,Treecko
Grovyle,Massko,Reptain,Grovyle,ジュプトル,나무돌이,Grovyle
Sceptile,Jungko,Gewaldro,Sceptile,ジュカイン,나무킹,Sceptile
Torchic,Poussifeu,Flemmli,Torchic,アチャモ,아차모,Torchic
Combusken,Galifeu,Jungglut,Combusken,ワカシャモ,영치코,Combusken
Blaziken,Braségali,Lohgock,Blaziken,バシャーモ,번치코,Blaziken
Mudkip,Gobou,Hydropi,Mudkip,ミズゴロウ,물짱이,Mudkip
Marshtomp,Flobio,Moorabbel,Marshtomp,ヌマクロー,늪짱이,Marshtomp
Swampert,Laggron,Sumpex,Swampert,ラグラージ,대짱이,Swampert
Poochyena,Medhyèna,Fiffyen,Poochyena,ポチエナ,포챠나,Poochyena
Mightyena,Grahyèna,Magnayen,Mightyena,グラエナ,그라에나,Mightyena
Zigzagoon,Zigzaton,Zigzachs,Zigzagoon,ジグザグマ,지그제구리,Zigzagoon
Linoone,Linéon,Geradaks,Linoone,マッスグマ,직구리,Linoone
Wurmple,Chenipotte,Waumpel,Wurmple,ケムッソ,개무소,Wurmple
Silcoon,Armulys,Schaloko,Silcoon,カラサリス,실쿤,Silcoon
Beautifly,Charmillon,Papinella,Beautifly,アゲハント,뷰티플라이,Beautifly
Cascoon,Blindalys,Panekon,Cascoon,マユルド,카스쿤,Cascoon
Dustox,Papinox,Pudox,Dustox,ドクケイル,독케일,Dustox
Lotad,Nénupiot,Loturzel,Lotad,ハスボー,연꽃몬,Lotad
Lombre,Lombre,Lombrero,Lombre,ハスブレロ,로토스,Lombre
Ludicolo,Ludicolo,Kappalores,Ludicolo,ルンパッパ,로파파,Ludicolo
Seedot,Grainipiot,Samurzel,Seedot,タネボー,도토링,Seedot
Nuzleaf,Pifeuil,Blanas,Nuzleaf,コノハナ,잎새코,Nuzleaf
Shiftry,Tengalice,Tengulist,Shiftry,ダーテング,다탱구,Shiftry
Taillow,Nirondelle,Schwalbini,Taillow,スバメ,테일로,Taillow
Swellow,Hélédelle,Schwalboss,Swellow,オオスバメ,스왈로,Swellow
Wingull,Goélise,Wingull,Wingull,キャモメ,갈모매,Wingull
Pelipper,Bekipan,Pelipper,Pelipper,ペリッパー,패리퍼,Pelipper
Ralts,Tarsal,Trasla,Ralts,ラルトス,랄토스,Ralts
Kirlia,Kirlia,Kirlia,Kirlia,キルリア,킬리아,Kirlia
Gardevoir,Gardevoir,Guardevoir,Gardevoir,サーナイト,가디안,Gardevoir
Surskit,Arakdo,Gehweiher,Surskit,アメタマ,비구술,Surskit
Masquerain,Maskadra,Maskeregen,Masquerain,アメモース,비나방,Masquerain
Shroomish,Balignon,Knilz,Shroomish,キノココ,버섯꼬,Shroomish
Breloom,Chapignon,Kapilz,Breloom,キノガッサ,버섯모,Breloom
Slakoth,Parecool,Bummelz,Slakoth,ナマケロ,게을로,Slakoth
Vigoroth,Vigoroth,Muntier,Vigoroth,ヤルキモノ,발바로,Vigoroth
Slaking,Monaflèmit,Letarking,Slaking,ケッキング,게을킹,Slaking
Nincada,Ningale,Nincada,Nincada,ツチニン,토중몬,Nincada
Ninjask,Ninjask,Ninjask,Ninjask,テッカニン,아이스크,Ninjask
Shedinja,Munja,Ninjatom,Shedinja,ヌケニン,껍질몬,Shedinja
Whismur,Chuchmur,Flurmel,Whismur,ゴニョニョ,소곤룡,Whismur
Loudred,Ramboum,Krakeelo,Loudred,ドゴーム,노공룡,Loudred
Exploud,Brouhabam,Krawumms,Exploud,バクオング,폭음룡,Exploud
Makuhita,Makuhita,Makuhita,Makuhita,マクノシタ,마크탕,Makuhita
Hariyama,Hariyama,Hariyama,Hariyama,ハリテヤマ,하리뭉,Hariyama
Azurill,Azurill,Azurill,Azurill,ルリリ,루리리,Azurill
Nosepass,Tarinor,Nasgnet,Nosepass,ノズパス,코코파스,Nosepass
Skitty,Skitty,Eneco,Skitty,エネコ,에나비,Skitty
Delcatty,Delcatty,Enekoro,Delcatty,エネコロロ,델케티,Delcatty
Sableye,Ténéfix,Zobiris,Sableye,ヤミラミ,깜까미,Sableye
Mawile,Mysdibule,Flunkifer,Mawile,クチート,입치트,Mawile
Aron,Galekid,Stollunior,Aron,ココドラ,가보리,Aron
Lairon,Galegon,Stollrak,Lairon,コドラ,갱도라,Lairon
Aggron,Galeking,Stolloss,Aggron,ボスゴドラ,보스로라,Aggron
Meditite,Méditikka,Meditie,Meditite,アサナン,요가랑,Meditite
Medicham,Charmina,Meditalis,Medicham,チャーレム,요가램,Medicham
Electrike,Dynavolt,Frizelbliz,Electrike,ラクライ,썬더라이,Electrike
Manectric,Élecsprint,Voltenso,Manectric,ライボルト,썬더볼트,Manectric
Plusle,Posipi,Plusle,Plusle,プラスル,플러시,Plusle
Minun,Négapi,Minun,Minun,マイナン,마이농,Minun
Volbeat,Muciole,Volbeat,Volbeat,バルビート,볼비트,Volbeat
Illumise,Lumivole,Illumise,Illumise,イルミーゼ,네오비트,Illumise
Roselia,Rosélia,Roselia,Roselia,ロゼリア,로젤리아,Roselia
Gulpin,Gloupti,Schluppuck,Gulpin,ゴクリン,꼴깍몬,Gulpin
Swalot,Avaltout,Schlukwech,Swalot,マルノーム,꿀꺽몬,Swalot
Carvanha,Carvanha,Kanivanha,Carvanha,キバニア,샤프니아,Carvanha
Sharpedo,Sharpedo,Tohaido,Sharpedo,サメハダー,샤크니아,Sharpedo
Wailmer,Wailmer,Wailmer,Wailmer,ホエルコ,고래왕자,Wailmer
Wailord,Wailord,Wailord,Wailord,ホエルオー,고래왕,Wailord
Numel,Chamallot,Camaub,Numel,ドンメル,둔타,Numel
Camerupt,Camérupt,Camerupt,Camerupt,バクーダ,폭타,Camerupt
Torkoal,Chartor,Qurtel,Torkoal,コータス,코터스,Torkoal
Spoink,Spoink,Spoink,Spoink,バネブー,피그점프,Spoink
Grumpig,Groret,Groink,Grumpig,ブーピッグ,피그킹,Grumpig
Spinda,Spinda,Pandir,Spinda,パッチール,얼루기,Spinda
Trapinch,Kraknoix,Knacklion,Trapinch,ナックラー,톱치,Trapinch
Vibrava,Vibraninf,Vibrava,Vibrava,ビブラーバ,비브라바,Vibrava
Flygon,Libégon,Libelldra,Flygon,フライゴン,플라이곤,Flygon
Cacnea,Cacnea,Tuska,Cacnea,サボネア,선인왕,Cacnea
Cacturne,Cacturne,Noktuska,Cacturne,ノクタス,밤선인,Cacturne
Swablu,Tylton,Wablu,Swablu,チルット,파비코,Swablu
Altaria,Altaria,Altaria,Altaria,チルタリス,파비코리,Altaria
Zangoose,Mangriff,Sengo,Zangoose,ザングース,쟝고,Zangoose
Seviper,Séviper,Vipitis,Seviper,ハブネーク,세비퍼,Seviper
Lunatone,Séléroc,Lunastein,Lunatone,ルナトーン,루나톤,Lunatone
Solrock,Solaroc,Sonnfel,Solrock,ソルロック,솔록,Solrock
Barboach,Barloche,Schmerbe,Barboach,ドジョッチ,미꾸리,Barboach
Whiscash,Barbicha,Welsar,Whiscash,ナマズン,메깅,Whiscash
Corphish,Écrapince,Krebscorps,Corphish,ヘイガニ,가재군,Corphish
Crawdaunt,Colhomard,Krebutack,Crawdaunt,シザリガー,가재장군,Crawdaunt
Baltoy,Balbuto,Puppance,Baltoy,ヤジロン,오뚝군,Baltoy
Claydol,Kaorine,Lepumentas,Claydol,ネンドール,점토도리,Claydol
Lileep,Lilia,Liliep,Lileep,リリーラ,릴링,Lileep
Cradily,Vacilys,Wielie,Cradily,ユレイドル,릴리요,Cradily
Anorith,Anorith,Anorith,Anorith,アノプス,아노딥스,Anorith
Armaldo,Armaldo,Armaldo,Armaldo,アーマルド,아말도,Armaldo
Feebas,Barpau,Barschwa,Feebas,ヒンバス,빈티나,Feebas
Milotic,Milobellus,Milotic,Milotic,ミロカロス,밀로틱,Milotic
Castform,Morphéo,Formeo,Castform,ポワルン,캐스퐁,Castform
Kecleon,Kecleon,Kecleon,Kecleon,カクレオン,켈리몬,Kecleon
Shuppet,Polichombr,Shuppet,Shuppet,カゲボウズ,어둠대신,Shuppet
Banette,Branette,Banette,Banette,ジュペッタ,다크펫,Banette
Duskull,Skelénox,Zwirrlicht,Duskull,ヨマワル,해골몽,Duskull
Dusclops,Téraclope,Zwirrklop,Dusclops,サマヨール,미라몽,Dusclops
Tropius,Tropius,Tropius,Tropius,トロピウス,트로피우스,Tropius
Chimecho,Éoko,Palimpalim,Chimecho,チリーン,치렁,Chimecho
Absol,Absol,Absol,Absol,アブソル,앱솔,Absol
Wynaut,Okéoké,Isso,Wynaut,ソーナノ,마자,Wynaut
Snorunt,Stalgamin,Schneppke,Snorunt,ユキワラシ,눈꼬마,Snorunt
Glalie,Oniglali,Firnontor,Glalie,オニゴーリ,얼음귀신,Glalie
Spheal,Obalie,Seemops,Spheal,タマザラシ,대굴레오,Spheal
Sealeo,Phogleur,Seejong,Sealeo,トドグラー,씨레오,Sealeo
Walrein,Kaimorse,Walraisa,Walrein,トドゼルガ,씨카이저,Walrein
Clamperl,Coquiperl,Perlu,Clamperl,パールル,진주몽,Clamperl
Huntail,Serpang,Aalabyss,Huntail,ハンテール,헌테일,Huntail
Gorebyss,Rosabyss,Saganabyss,Gorebyss,サクラビス,분홍장이,Gorebyss
Relicanth,Relicanth,Relicanth,Relicanth,ジーランス,시라칸,Relicanth
Luvdisc,Lovdisc,Liebiskus,Luvdisc,ラブカス,사랑동이,Luvdisc
Bagon,Draby,Kindwurm,Bagon,タツベイ,아공이,Bagon
Shelgon,Drackhaus,Draschel,Shelgon,コモルー,쉘곤,Shelgon
Salamence,Drattak,Brutalanda,Salamence,ボーマンダ,보만다,Salamence
Beldum,Terhal,Tanhel,Beldum,ダンバル,메탕,Beldum
Metang,Métang,Metang,Metang,メタング,메탕구,Metang
Metagross,Métalosse,Metagross,Metagross,メタグロス,메타그로스,Metagross
Regirock,Regirock,Regirock,Regirock,レジロック,레지락,Regirock
Regice,Regice,Regice,Regice,レジアイス,레지아이스,Regice
Registeel,Registeel,Registeel,Registeel,レジスチル,레지스틸,Registeel
Latias,Latias,Latias,Latias,ラティアス,라티아스,Latias
Latios,Latios,Latios,Latios,ラティオス,라티오스,Latios
Kyogre,Kyogre,Kyogre,Kyogre,カイオーガ,가이오가,Kyogre
Groudon,Groudon,Groudon,Groudon,グラードン,그란돈,Groudon
Rayquaza,Rayquaza,Rayquaza,Rayquaza,レックウザ,레쿠쟈,Rayquaza
Jirachi,Jirachi,Jirachi,Jirachi,ジラーチ,지라치,Jirachi
Deoxys,Deoxys,Deoxys,Deoxys,デオキシス,테오키스,Deoxys
Turtwig,Tortipouss,Chelast,Turtwig,ナエトル,모부기,Turtwig
Grotle,Boskara,Chelcarain,Grotle,ハヤシガメ,수풀부기,Grotle
Torterra,Torterra,Chelterrar,Torterra,ドダイトス,토대부기,Torterra
Chimchar,Ouisticram,Panflam,Chimchar,ヒコザル,불꽃숭이,Chimchar
Monferno,Chimpenfeu,Panpyro,Monferno,モウカザル,파이숭이,Monferno
Infernape,Simiabraz,Panferno,Infernape,ゴウカザル,초염몽,Infernape
Piplup,Tiplouf,Plinfa,Piplup,ポッチャマ,팽도리,Piplup
Prinplup,Prinplouf,Pliprin,Prinplup,ポッタイシ,팽태자,Prinplup
Empoleon,Pingoléon,Impoleon,Empoleon,エンペルト,엠페르트,Empoleon
Starly,Étourmi,Staralili,Starly,ムックル,찌르꼬,Starly
Staravia,Étourvol,Staravia,Staravia,ムクバード,찌르버드,Staravia
